"","timely_broken(Coef)","long_passed(Coef)","long_broken(Coef)","timely_broken(Std.Er)","long_passed(Std.Er)","long_broken(Std.Er)","timely_broken(p-value)","long_passed(p-value)","long_broken(p-value)","timely_broken(signif)","long_passed(signif)","long_broken(signif)","anova(Chisq)","anova(p-value)","anova(signif)"
"(Intercept)",-0.334716731037397,-1.26984992604409,-0.451831104209114,1.9529491356848e-05,1.12571847880603e-05,1.2628311428326e-05,"< 2.2e-16","< 2.2e-16","< 2.2e-16","***","***","***",,,
"langruby",0.605407806030036,-0.289412322217566,-0.92927066185506,2.65303635780912e-05,1.42690024901641e-05,1.0381711096934e-05,"< 2.2e-16","< 2.2e-16","< 2.2e-16","***","***","***",16.4683,"0.0009089","***"
"commits_count_per_lifetime",0.000210080422535541,0.00439406974731282,0.00347562396700795,0.00185060046711029,0.00129996088010399,0.00130575263985755,"0.90961820","0.0007244486497","0.0077729068808849","","***","**",13.7718,"0.0032328","**"
"branch_count",-0.005140210171868,-0.000542306087333745,-0.000694285955407687,0.00183530729466116,0.000895412297086012,0.000916295321926289,"0.00509863","0.5447474674278","0.4486247241803536","**","","",9.4462,"0.0239106","*"
"sloc",1.54906802108764e-06,1.12353865053234e-05,8.56151192890548e-06,6.31528602937597e-06,4.19029685017441e-06,4.22745032046424e-06,"0.80623293","0.0073339689506","0.0428449005057072","","**","*",16.3233,"0.0009734","***"
"team_size",-0.0147458811217215,-0.0495603150770174,-0.00320604448613757,3.75249355752263e-05,2.5260752816516e-05,3.42909830754312e-05,"< 2.2e-16","< 2.2e-16","< 2.2e-16","***","***","***",7.6754,"0.0532188","."
"median_building_freq_days",-0.877505279364363,0.037552127667245,0.163996137901342,8.30729612877916e-06,9.761999284045e-06,9.93793007431662e-06,"< 2.2e-16","< 2.2e-16","< 2.2e-16","***","***","***",20.2829,"0.0001483","***"
"job_envs",-0.00384061634188199,0.0106881733621915,0.00914962006580258,0.00287364723908296,0.00195472801022588,0.00198907476210457,"0.18138740","0.0000000455509","0.0000042261723256","","***","***",42.0904,"< 2.2e-16","***"
"config_ratio",4.31167054371082,9.56321497395827,5.99797939070204,3.45717698177066e-06,1.57916622863261e-06,1.18452962772055e-06,"< 2.2e-16","< 2.2e-16","< 2.2e-16","***","***","***",15.7602,"0.0012698","**"
"config_frequency",6.10244894368451e-05,-0.00456977497894274,-0.0110977924715453,0.00097007585704454,0.00132164964919348,0.00174229585196372,"0.94984062","0.0005449500125","0.0000000001894758","","***","***",19.2115,"0.0002472","***"
